analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
GLU,NORMA_q_age_set,prolonged_los,pop_normal,15536.0,11607.0,native,0.1219091927285258,0.9002290659200815,0.7830658550083011,1807.0
GLU,NORMA_q_age_set,prolonged_los,pop_normal,15536.0,11607.0,rate_of:PerRI,0.4441285431205307,0.6164418427080682,0.7737916541579105,6662.0
HCT,PerRI,prolonged_los,pop_normal,13327.0,9067.0,native,0.5727362964596889,0.4875586854460094,0.7040401301518439,7376.0
HCT,PerRI,prolonged_los,pop_normal,13327.0,9067.0,rate_of:PerRI,0.5727362964596889,0.4875586854460094,0.7040401301518439,7376.0
HCT,NORMA_q_age_set,prolonged_los,pop_normal,13327.0,9067.0,native,0.0754384029998897,0.9133802816901408,0.6495726495726496,1053.0
HCT,NORMA_q_age_set,prolonged_los,pop_normal,13327.0,9067.0,rate_of:PerRI,0.5599426491673101,0.4603286384976526,0.6883134490238612,7376.0
HGB,PerRI,prolonged_los,pop_normal,11072.0,7788.0,native,0.5342835130970724,0.5475030450669914,0.7368514255356826,5647.0
HGB,PerRI,prolonged_los,pop_normal,11072.0,7788.0,rate_of:PerRI,0.5342835130970724,0.5475030450669914,0.7368514255356826,5647.0
HGB,NORMA_q_age_set,prolonged_los,pop_normal,11072.0,7788.0,native,0.108371854134566,0.879415347137637,0.6806451612903226,1240.0
HGB,NORMA_q_age_set,prolonged_los,pop_normal,11072.0,7788.0,rate_of:PerRI,0.5181047765793528,0.5091352009744214,0.7145386931113866,5647.0
K,PerRI,prolonged_los,pop_normal,33649.0,24933.0,native,0.4827738338747844,0.549564020192749,0.7540562550898954,15963.0
K,PerRI,prolonged_los,pop_normal,33649.0,24933.0,rate_of:PerRI,0.4827738338747844,0.549564020192749,0.7540562550898954,15963.0
K,NORMA_q_age_set,prolonged_los,pop_normal,33649.0,24933.0,native,0.2918621906709983,0.7906149609912804,0.7994946165677873,9102.0
K,NORMA_q_age_set,prolonged_los,pop_normal,33649.0,24933.0,rate_of:PerRI,0.5023061805639113,0.6054382744378155,0.7845643049552089,15963.0
NA,PerRI,prolonged_los,pop_normal,32291.0,23922.0,native,0.5603628459158934,0.4350579519655873,0.7392599128660453,18133.0
NA,PerRI,prolonged_los,pop_normal,32291.0,23922.0,rate_of:PerRI,0.5603628459158934,0.4350579519655873,0.7392599128660453,18133.0
NA,NORMA_q_age_set,prolonged_los,pop_normal,32291.0,23922.0,native,0.1868572861800852,0.8422750627315091,0.772020725388601,5790.0
NA,NORMA_q_age_set,prolonged_los,pop_normal,32291.0,23922.0,rate_of:PerRI,0.59004263857537,0.519894850041821,0.7784150443941984,18133.0
PLT,PerRI,prolonged_los,pop_normal,27231.0,20926.0,native,0.7656981745197362,0.2434575733544805,0.7705958736113115,20793.0
PLT,PerRI,prolonged_los,pop_normal,27231.0,20926.0,rate_of:PerRI,0.7656981745197362,0.2434575733544805,0.7705958736113115,20793.0
PLT,NORMA_q_age_set,prolonged_los,pop_normal,27231.0,20926.0,native,0.5176813533403422,0.5122918318794607,0.7789042277825712,13908.0
PLT,NORMA_q_age_set,prolonged_los,pop_normal,27231.0,20926.0,rate_of:PerRI,0.7710503679632993,0.2612212529738303,0.7759823017361612,20793.0
TBIL,PerRI,prolonged_los,pop_normal,22942.0,18107.0,native,0.434417628541448,0.5904860392967942,0.7989031078610603,9846.0
TBIL,PerRI,prolonged_los,pop_normal,22942.0,18107.0,rate_of:PerRI,0.4343624012812724,0.5900723888314374,0.7987204224636946,9847.0
TBIL,NORMA_q_age_set,prolonged_los,pop_normal,22942.0,18107.0,native,0.2470315347655602,0.7762150982419855,0.8052205220522052,5555.0
TBIL,NORMA_q_age_set,prolonged_los,pop_normal,22942.0,18107.0,rate_of:PerRI,0.4363505826475948,0.5977249224405378,0.8024578509039204,9846.0
TP,PerRI,prolonged_los,pop_normal,21697.0,17485.0,native,0.4891621389762653,0.5902184235517569,0.8320848331549762,10279.0
TP,PerRI,prolonged_los,pop_normal,21697.0,17485.0,rate_of:PerRI,0.4891621389762653,0.5902184235517569,0.8320848331549762,10279.0
TP,NORMA_q_age_set,prolonged_los,pop_normal,21697.0,17485.0,native,0.2367171861595653,0.7758784425451092,0.8142829037969703,5083.0
TP,NORMA_q_age_set,prolonged_los,pop_normal,21697.0,17485.0,rate_of:PerRI,0.4809265084358021,0.5560303893637227,0.8180756882965269,10279.0
WBC,PerRI,prolonged_los,pop_normal,27304.0,20969.0,native,0.4290142591444513,0.5477505919494869,0.7584520698086165,11861.0
WBC,PerRI,prolonged_los,pop_normal,27304.0,20969.0,rate_of:PerRI,0.4290142591444513,0.5477505919494869,0.7584520698086165,11861.0
WBC,NORMA_q_age_set,prolonged_los,pop_normal,27304.0,20969.0,native,0.2036816252563307,0.8255722178374112,0.7944568452380952,5376.0
WBC,NORMA_q_age_set,prolonged_los,pop_normal,27304.0,20969.0,rate_of:PerRI,0.4455148075730841,0.6023677979479084,0.7876233032627941,11861.0
A1C,PerRI,unplanned_icu,pop_normal,58.0,25.0,native,0.44,0.3939393939393939,0.3548387096774194,31.0
A1C,PerRI,unplanned_icu,pop_normal,58.0,25.0,rate_of:PerRI,0.44,0.3939393939393939,0.3548387096774194,31.0
A1C,NORMA_q_age_set,unplanned_icu,pop_normal,58.0,25.0,native,0.04,0.9393939393939394,0.3333333333333333,3.0
A1C,NORMA_q_age_set,unplanned_icu,pop_normal,58.0,25.0,rate_of:PerRI,0.56,0.4848484848484848,0.4516129032258064,31.0
ALB,PerRI,unplanned_icu,pop_normal,21527.0,6921.0,native,0.4925588787747435,0.5678488292482542,0.3506840859993828,9721.0
ALB,PerRI,unplanned_icu,pop_normal,21527.0,6921.0,rate_of:PerRI,0.4925588787747435,0.5678488292482542,0.3506840859993828,9721.0
ALB,NORMA_q_age_set,unplanned_icu,pop_normal,21527.0,6921.0,native,0.1832105187111689,0.8361632205942763,0.346353455340071,3661.0
ALB,NORMA_q_age_set,unplanned_icu,pop_normal,21527.0,6921.0,rate_of:PerRI,0.4708857101574917,0.5575790770916061,0.3352535747351096,9721.0
ALP,PerRI,unplanned_icu,pop_normal,22953.0,7752.0,native,0.7181372549019608,0.2946516676534438,0.3417643808705261,16289.0
ALP,PerRI,unplanned_icu,pop_normal,22953.0,7752.0,rate_of:PerRI,0.7181372549019608,0.2946516676534438,0.3417643808705261,16289.0
ALP,NORMA_q_age_set,unplanned_icu,pop_normal,22953.0,7752.0,native,0.4356295149638803,0.6375896322610355,0.3800360117038037,8886.0
ALP,NORMA_q_age_set,unplanned_icu,pop_normal,22953.0,7752.0,rate_of:PerRI,0.750515995872033,0.3111637392276823,0.357173552704279,16289.0
ALT,PerRI,unplanned_icu,pop_normal,19333.0,7129.0,native,0.5958759994389115,0.412569649295313,0.3720767276867828,11417.0
ALT,PerRI,unplanned_icu,pop_normal,19333.0,7129.0,rate_of:PerRI,0.5958759994389115,0.412569649295313,0.3720767276867828,11417.0
ALT,NORMA_q_age_set,unplanned_icu,pop_normal,19333.0,7129.0,native,0.3565717491934352,0.7054244509996722,0.4142088968551409,6137.0
ALT,NORMA_q_age_set,unplanned_icu,pop_normal,19333.0,7129.0,rate_of:PerRI,0.6324870248281667,0.4339560799737791,0.3949373740912674,11417.0
AST,PerRI,unplanned_icu,pop_normal,21577.0,7626.0,native,0.6144767899291896,0.3556017489785678,0.3426440479672419,13676.0
AST,PerRI,unplanned_icu,pop_normal,21577.0,7626.0,rate_of:PerRI,0.6144767899291896,0.3556017489785678,0.3426440479672419,13676.0
AST,NORMA_q_age_set,unplanned_icu,pop_normal,21577.0,7626.0,native,0.3004196170993968,0.7355028313382553,0.3830463133255308,5981.0
AST,NORMA_q_age_set,unplanned_icu,pop_normal,21577.0,7626.0,rate_of:PerRI,0.6709939680041962,0.3864955917138556,0.3741591108511261,13676.0
BUN,PerRI,unplanned_icu,pop_normal,22198.0,7469.0,native,0.5429106975498728,0.4539344150994636,0.3351793684906596,12098.0
BUN,PerRI,unplanned_icu,pop_normal,22198.0,7469.0,rate_of:PerRI,0.5433123577453475,0.4535949487405798,0.335205683132331,12106.0
BUN,NORMA_q_age_set,unplanned_icu,pop_normal,22198.0,7469.0,native,0.2729950461909224,0.7950302125059406,0.4031237643337287,5058.0
BUN,NORMA_q_age_set,unplanned_icu,pop_normal,22198.0,7469.0,rate_of:PerRI,0.5980720310617218,0.4819064430714916,0.3692345842287981,12098.0
CA,PerRI,unplanned_icu,pop_normal,20856.0,7145.0,native,0.4918124562631211,0.5695427029392459,0.3731945624468989,9416.0
CA,PerRI,unplanned_icu,pop_normal,20856.0,7145.0,rate_of:PerRI,0.4918124562631211,0.5695427029392459,0.3731945624468989,9416.0
CA,NORMA_q_age_set,unplanned_icu,pop_normal,20856.0,7145.0,native,0.2292512246326102,0.8264167456786522,0.4076655052264808,4018.0
CA,NORMA_q_age_set,unplanned_icu,pop_normal,20856.0,7145.0,rate_of:PerRI,0.4958712386284115,0.5716577930129093,0.3762744265080713,9416.0
CL,PerRI,unplanned_icu,pop_normal,24134.0,7872.0,native,0.4415650406504065,0.5289017341040463,0.3121127772290563,11137.0
CL,PerRI,unplanned_icu,pop_normal,24134.0,7872.0,rate_of:PerRI,0.4415650406504065,0.5289017341040463,0.3121127772290563,11137.0
CL,NORMA_q_age_set,unplanned_icu,pop_normal,24134.0,7872.0,native,0.220655487804878,0.8427007748124462,0.4044237485448195,4295.0
CL,NORMA_q_age_set,unplanned_icu,pop_normal,24134.0,7872.0,rate_of:PerRI,0.5118140243902439,0.5629073914647644,0.3617670826973153,11137.0
CO2,PerRI,unplanned_icu,pop_normal,9282.0,5908.0,native,0.44583615436696,0.5426793123888559,0.6305961216183864,4177.0
CO2,PerRI,unplanned_icu,pop_normal,9282.0,5908.0,rate_of:PerRI,0.44583615436696,0.5426793123888559,0.6305961216183864,4177.0
CO2,NORMA_q_age_set,unplanned_icu,pop_normal,9282.0,5908.0,native,0.1702775897088693,0.8266152934202726,0.6323067253299811,1591.0
CO2,NORMA_q_age_set,unplanned_icu,pop_normal,9282.0,5908.0,rate_of:PerRI,0.458023019634394,0.5640189685832839,0.6478333732343787,4177.0
CRE,PerRI,unplanned_icu,pop_normal,33350.0,7411.0,native,0.335177438942113,0.7018003778094761,0.2430766219786672,10219.0
CRE,PerRI,unplanned_icu,pop_normal,33350.0,7411.0,rate_of:PerRI,0.335177438942113,0.7018003778094761,0.2430766219786672,10219.0
CRE,NORMA_q_age_set,unplanned_icu,pop_normal,33350.0,7411.0,native,0.228174335447308,0.8169937160260612,0.262659210935073,6438.0
CRE,NORMA_q_age_set,unplanned_icu,pop_normal,33350.0,7411.0,rate_of:PerRI,0.3477263527189313,0.7053857126334863,0.2521773167628927,10219.0
GLU,PerRI,unplanned_icu,pop_normal,15536.0,5148.0,native,0.418026418026418,0.5658452060069311,0.323026118282798,6662.0
GLU,PerRI,unplanned_icu,pop_normal,15536.0,5148.0,rate_of:PerRI,0.418026418026418,0.5658452060069311,0.323026118282798,6662.0
GLU,NORMA_q_age_set,unplanned_icu,pop_normal,15536.0,5148.0,native,0.1318958818958819,0.8914131690412014,0.3757609297177642,1807.0
