outcome,analyte,method,n,n_flagged,flag_rate,logrank_p,rr_24h,rr_72h,rr_168h,rr_720h,landmark_hours,anchor,target_sensitivity
mortality,BUN,Gaussian_eb,2891,737,0.2549290902801798,0.7358296593943778,0.6074003397230358,1.6101123829383672,1.1275703339352103,0.7206221996215997,168.0,sensitivity,0.25
mortality,BUN,Gaussian_eb,2891,621,0.2148045658941542,0.5002566057070215,0.342784632726662,1.2744482107042032,1.1062687300440508,0.902323336176042,168.0,soc_rate,0.25
mortality,BUN,NORMA_q_age_set,2891,577,0.199584918713248,0.7716245982810132,0.75556578567378,1.1513068143798386,1.1251890431206717,0.9601917403717866,168.0,sensitivity,0.25
mortality,BUN,NORMA_q_age_set,2891,627,0.2168799723279142,0.7992699443139911,0.6796403577182958,0.8448437765919894,0.9421027529060196,0.9385317820348218,168.0,soc_rate,0.25
mortality,BUN,NORMA_334f7e21,2891,562,0.1943964026288481,0.575984340042344,1.9385461637717412,1.8006553013758952,1.476252159741018,0.9481388820875776,168.0,sensitivity,0.25
mortality,BUN,NORMA_334f7e21,2891,627,0.2168799723279142,0.8870226156784605,3.2235093444277445,1.943403240989949,1.4029323499738542,0.906371512592454,168.0,soc_rate,0.25
mortality,BUN,NORMA_q_age,2891,562,0.1943964026288481,0.8506777591524894,1.344416890735057,1.3737772652120088,1.2964785253511946,1.056626250531286,168.0,sensitivity,0.25
mortality,BUN,NORMA_q_age,2891,627,0.2168799723279142,0.7292395990526679,0.6800371989608491,0.8378306789120414,1.1043933475745888,0.8613218081602988,168.0,soc_rate,0.25
mortality,BUN,NORMA_q_age_set_co,2891,762,0.2635766170875129,0.0372942240770538,0.52408421384401,0.3828996989280964,0.6583823730827457,0.7821086526995517,168.0,sensitivity,0.25
mortality,BUN,NORMA_q_age_set_co,2891,627,0.2168799723279142,0.1095842269951619,0.6710815424570575,0.4909247151719598,0.9487177951103676,0.7445936891650174,168.0,soc_rate,0.25
mortality,BUN,StandardOfCare,2891,627,0.2168799723279142,1.7644946452401907e-20,1.713239014403693,3.942991286304653,4.188389591893417,3.722176180592015,168.0,sensitivity,0.25
mortality,BUN,StandardOfCare,2891,627,0.2168799723279142,1.7644946452401907e-20,1.713239014403693,3.942991286304653,4.188389591893417,3.722176180592015,168.0,soc_rate,0.25
mortality,CA,PopRI,7973,2109,0.2645177473974665,0.3991739773604444,0.8470396126727949,1.289035670580393,1.1435999544370608,0.9044363819657764,0.0,sensitivity,0.25
mortality,CA,PerRI,7973,1953,0.2449517120280948,0.1246931885380156,2.860321322995647,1.7822394677594882,1.35374760936768,0.8686339676298411,0.0,sensitivity,0.25
mortality,BUN,Cohen_m3,2891,733,0.2535454859910065,0.2717458056846307,0.2760293919835602,0.7116404990049429,0.9553286295841148,0.9091356162257088,168.0,sensitivity,0.25
mortality,CA,Cohen_m3,7973,1179,0.1478740750031355,0.0001688401683014,1.0829909445374173,1.6288374326828945,1.925203264701561,1.938092745067878,0.0,sensitivity,0.25
mortality,CA,Cohen_m2,7973,1091,0.1368368242819516,2.4402242486476168e-05,1.4718275826997391,1.918034715005789,1.8681388684015932,1.9463213919719704,0.0,sensitivity,0.25
mortality,BUN,PerRI,2891,627,0.2168799723279142,0.7414887865841695,0.2789025613673119,1.02233379670583,0.6512895165249826,0.7897554125233381,168.0,soc_rate,0.25
mortality,BUN,Cohen_m4,6705,858,0.1279642058165548,0.1291778943805705,0.8025356271519887,1.053407642358798,0.7083639083811737,0.674888702052405,72.0,soc_rate,0.25
mortality,BUN,Gaussian_mle,6705,1561,0.2328113348247576,0.1628440305457483,2.425092054858028,1.7546771634710088,1.6267733355823473,1.0572479426956611,72.0,sensitivity,0.25
mortality,BUN,Gaussian_mle,6705,848,0.1264727815063385,0.5329705293643174,1.860765674893647,0.97112052402178,0.8400210562690883,0.653110558853291,72.0,soc_rate,0.25
