method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
Cohen_m3,low,AST,1266,0.0016,0.6499,0.9791,
Cohen_m3,low,BUN,19698,0.1257,0.7878,0.8887,
Cohen_m3,low,CA,138820,0.3268,0.8697,0.7458,
Cohen_m3,low,CL,43667,0.0799,0.5042,0.9587,
Cohen_m3,low,CO2,75898,0.0211,0.7375,1.0,
Cohen_m3,low,CRE,44621,0.6654,1.065,0.6989,
Cohen_m3,low,DBIL,381,0.147,1.4485,0.6841,
Cohen_m3,low,GLU,19941,0.0001,0.5614,0.7293,
Cohen_m3,low,HCT,256361,0.1029,1.1983,0.4463,
Cohen_m3,low,HDL,29,0.4828,0.7539,0.652,
Cohen_m3,low,HGB,260837,0.2698,1.0624,0.2412,
Cohen_m3,low,K,42680,0.2585,0.9294,0.8933,
Cohen_m3,low,MCH,38019,0.46,0.8037,0.6863,
Cohen_m3,low,MCHC,124070,0.5015,0.8278,0.538,
Cohen_m3,low,MCV,5859,0.7885,0.757,0.6986,
Cohen_m3,low,NA,72940,0.0374,0.6635,0.9848,
Cohen_m3,low,PLT,59891,0.318,0.6458,0.8482,
Cohen_m3,low,RBC,206724,0.1169,0.9209,0.5903,
Cohen_m3,low,TBIL,4092,0.6852,0.9237,0.7842,
Cohen_m3,low,TC,45,0.0222,0.8661,1.0,
Cohen_m3,low,TP,31767,0.1765,0.6689,0.7916,
Cohen_m3,low,WBC,13297,0.5106,0.909,0.6764,
Cohen_m3,normal,ALB,5734,0.8195,0.3985,0.7059,
Cohen_m3,normal,ALP,33825,0.6411,0.7405,0.6695,
Cohen_m3,normal,ALT,28557,0.5596,0.8239,0.7232,
Cohen_m3,normal,AST,31768,0.5529,0.6499,0.9982,
Cohen_m3,normal,BUN,101350,0.7832,0.7878,0.912,
Cohen_m3,normal,CA,112686,0.9396,0.8697,0.7879,
Cohen_m3,normal,CL,149433,0.5174,0.5042,1.0,
Cohen_m3,normal,CO2,191242,0.6468,0.7375,0.9806,
Cohen_m3,normal,CRE,126540,0.8221,1.065,0.741,
Cohen_m3,normal,DBIL,1534,0.9231,1.4485,0.6734,
Cohen_m3,normal,GLU,186941,0.5892,0.5614,0.7701,
Cohen_m3,normal,HCT,12875,0.9177,0.9586,0.7518,
Cohen_m3,normal,HGB,14144,0.9463,1.0624,0.6171,
Cohen_m3,normal,K,270821,0.9077,0.9294,0.9034,
Cohen_m3,normal,MCH,144080,0.8618,0.8037,0.7302,
Cohen_m3,normal,MCHC,91786,0.9215,0.8278,0.7045,
Cohen_m3,normal,MCV,187982,0.9808,0.757,0.9195,
Cohen_m3,normal,NA,195643,0.7344,0.6635,1.0,
Cohen_m3,normal,PLT,156757,0.8394,0.6458,0.941,
Cohen_m3,normal,RBC,18465,0.9688,1.0743,0.806,
Cohen_m3,normal,RDW,56134,0.7667,0.3979,0.5352,
Cohen_m3,normal,TBIL,34309,0.889,0.9237,0.8696,
Cohen_m3,normal,TC,51,0.8039,0.8661,0.9769,
Cohen_m3,normal,TGL,508,0.6102,0.6261,0.939,
Cohen_m3,normal,TP,23552,0.8324,0.6689,0.8575,
