analyte,direction,target_sensitivity,method,n_strata,n,n_events,prevalence,flag_rate,sensitivity,specificity,ppv,rr,tp,fp,tn,fn,n_population,n_events_population,auc,auc_lo,auc_hi,auprc,auprc_norm,auc_within_position,n_endpoints,age_band,sex,tp_norm,fp_norm,pop_pos,pop_neg,gap_hours,horizon_hours,min_normal_frac
ALT,high,0.2,NORMA_q_co,14.0,3238,242,0.0747639034627492,0.0853924713993447,0.2024793388429752,0.9238985313751668,0.1840356119692814,2.4615570274628102,49.0,228.0,2768.0,193.0,3812.0,285.0,0.6694159706054353,0.6316770102413308,0.7071549309695399,0.1461618541501734,1.9556697675134784,0.4989732347820849,,all,all,,,,,24.0,168.0,0.8
ALT,high,0.2,NORMA_q_age_set_co,14.0,3238,242,0.0747639034627492,0.0742925359279484,0.1983471074380165,0.9339118825100132,0.1938769234684068,2.5931888851283054,48.0,198.0,2798.0,194.0,3812.0,285.0,0.6793893235057211,0.6420184765560837,0.7167601704553586,0.1630946835728237,2.1822338240033194,0.5054890472484815,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,PopRI,13.0,2783,78,0.028072033898305,0.013754019593984,0.1794871794871795,0.9911275415896488,0.3627982433553984,12.923831763301738,14.0,24.0,2681.0,64.0,3812.0,107.0,0.8555903123370776,0.8078937960569482,0.903286828617207,0.2120246482883677,7.564930720340096,0.5567565200787629,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,PerRI,13.0,2783,78,0.028072033898305,0.1300852563587624,0.1794871794871795,0.8720887245841035,0.0363231297040087,1.293925827946575,14.0,346.0,2359.0,64.0,3812.0,107.0,0.6320157353429073,0.5780693643568592,0.6859621063289555,0.0391204653326948,1.3957981412934586,0.4128904601988092,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Cohen_m2,13.0,2783,78,0.028072033898305,0.0860970149111702,0.2051282051282051,0.9175600739371534,0.0723115645810861,2.5759289420583125,16.0,223.0,2482.0,62.0,3812.0,107.0,0.7290061140338405,0.6810141009928432,0.7769981270748378,0.0597513274837485,2.131896722913747,0.4540075155632377,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Cohen_m3,13.0,2783,78,0.028072033898305,0.1346008759280166,0.1794871794871795,0.8661737523105361,0.0390396022315479,1.390693754965331,14.0,362.0,2343.0,64.0,3812.0,107.0,0.6493435707853452,0.6000261775651973,0.6986609640054932,0.0392394093050014,1.400042001228448,0.4317996845745508,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Cohen_m4,13.0,2783,78,0.028072033898305,0.1277522944982742,0.1923076923076923,0.8735674676524954,0.0425144483697508,1.5144769532469748,15.0,342.0,2363.0,63.0,3812.0,107.0,0.6634153277406512,0.6125424757150684,0.7142881797662339,0.0414802775638448,1.4799950315407724,0.4565239508298984,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Gaussian_mle,13.0,2783,78,0.028072033898305,0.0977035522791755,0.1923076923076923,0.9068391866913124,0.0564932905300181,2.0124402362391383,15.0,252.0,2453.0,63.0,3812.0,107.0,0.6962794445234372,0.6444422695658563,0.748116619481018,0.0492155339982314,1.755985014321513,0.4272212843937559,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Gaussian_trunc,13.0,2783,78,0.028072033898305,0.1565911710372563,0.1794871794871795,0.8462107208872458,0.0335572217861343,1.195396881740031,14.0,416.0,2289.0,64.0,3812.0,107.0,0.5021328025024883,0.4325545753670238,0.5717110296379527,0.0291807556670206,1.04115439770921,0.3844718008928412,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,Gaussian_eb,13.0,2783,78,0.028072033898305,0.1189420327848991,0.2051282051282051,0.8868761552680222,0.0567963293779745,2.0232352804833185,16.0,306.0,2399.0,62.0,3812.0,107.0,0.631333238542111,0.5726734625817911,0.6899930145024309,0.03997297299771,1.4262151775977818,0.4261946936936119,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_age_set,13.0,2783,78,0.028072033898305,0.0673218465904765,0.1666666666666666,0.9349353049907578,0.0688755142345767,2.4535277523562447,13.0,176.0,2529.0,65.0,3812.0,107.0,0.6656524005877056,0.6050566109813785,0.7262481901940326,0.0520163178840213,1.8559155470670707,0.3896556958565913,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_334f7e21,13.0,2783,78,0.028072033898305,0.0585763385135961,0.1666666666666666,0.9456561922365988,0.0791586999256381,2.819841989803865,13.0,147.0,2558.0,65.0,3812.0,107.0,0.6541305275131523,0.5912604721178527,0.7170005829084518,0.0523303550668451,1.867120232705513,0.396195218114793,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_age,13.0,2783,78,0.028072033898305,0.06477747985526,0.1666666666666666,0.9371534195933456,0.0715808458973855,2.5498988123446003,13.0,170.0,2535.0,65.0,3812.0,107.0,0.6627043935731551,0.6005373856988407,0.7248714014474695,0.05456530331964,1.9468620402379264,0.3913128470403595,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_set,13.0,2783,78,0.028072033898305,0.0589176587188258,0.1666666666666666,0.9456561922365988,0.0787001198616666,2.803506156581636,13.0,147.0,2558.0,65.0,3812.0,107.0,0.662547988056306,0.598511407151705,0.726584568960907,0.0548305161738235,1.9563246988686025,0.3865561734128953,,all,all,,,,,24.0,168.0,0.8
ALT,low,0.2,NORMA_q_co,13.0,2783,78,0.028072033898305,0.0726167135626481,0.1794871794871795,0.9301293900184844,0.0711473649331742,2.5344570753553404,14.0,189.0,2516.0,64.0,3812.0,107.0,0.6410209014645244,0.5769324258299884,0.7051093770990604,0.0465332738274798,1.660283346947132,0.3692280016871725,,all,all,,,,,24.0,168.0,0.8
