subset,analyte,method,outcome,exposure,encoding,n,n_events,level,HR,HR_lower,HR_upper,p_value,p_fdr
all,AST,PopRI,mortality,first,category,14865,1695,high,1.776,1.61,1.959,0.0,7.5085884539866e-30
all,AST,PerRI,mortality,first,binary,14865,1695,abnormal,1.536,1.39,1.697,0.0,5.953940142966651e-17
all,AST,PerRI,mortality,first,z,14865,1695,z,1.047,1.027,1.067,0.0,2.359826640361431e-06
all,AST,PerRI,mortality,first,category,14865,1695,low,1.263,1.093,1.461,0.00158,0.0030335778415464
all,AST,PerRI,mortality,first,category,14865,1695,high,1.649,1.485,1.832,0.0,3.665620940054667e-20
all,AST,Cohen_m2,mortality,first,binary,14865,1695,abnormal,1.388,1.259,1.529,0.0,6.743119216201765e-11
all,AST,Cohen_m2,mortality,first,z,14865,1695,z,1.116,1.096,1.136,0.0,1.4853360237730323e-32
all,AST,Cohen_m2,mortality,first,category,14865,1695,low,0.775,0.65,0.923,0.00431,0.0077304228245024
all,AST,Cohen_m2,mortality,first,category,14865,1695,high,1.626,1.47,1.799,0.0,1.2147423732113464e-20
all,AST,Cohen_m3,mortality,first,binary,14865,1695,abnormal,1.254,1.132,1.388,1e-05,2.270805382662208e-05
all,AST,Cohen_m3,mortality,first,z,14865,1695,z,1.121,1.096,1.145,0.0,3.710989548711057e-24
all,AST,Cohen_m3,mortality,first,category,14865,1695,low,0.869,0.763,0.99,0.03472,0.0517769741589332
all,AST,Cohen_m3,mortality,first,category,14865,1695,high,1.623,1.453,1.812,0.0,2.655897681331209e-17
all,AST,Cohen_m4,mortality,first,binary,14865,1695,abnormal,1.267,1.143,1.405,1e-05,1.1742965079283377e-05
all,AST,Cohen_m4,mortality,first,z,14865,1695,z,1.135,1.105,1.165,0.0,3.460135198341637e-20
all,AST,Cohen_m4,mortality,first,category,14865,1695,low,0.896,0.789,1.018,0.09163,0.1229998979656089
all,AST,Cohen_m4,mortality,first,category,14865,1695,high,1.681,1.502,1.882,0.0,5.698263404029115e-19
all,AST,Gaussian_mle,mortality,first,binary,14782,1687,abnormal,1.599,1.453,1.76,0.0,2.0288872667016727e-21
all,AST,Gaussian_mle,mortality,first,z,14782,1687,z,1.105,1.084,1.127,0.0,2.303479577863661e-24
all,AST,Gaussian_mle,mortality,first,category,14782,1687,low,0.992,0.795,1.238,0.94681,0.9532501700022836
all,AST,Gaussian_mle,mortality,first,category,14782,1687,high,1.716,1.555,1.894,0.0,2.984906897081404e-26
all,AST,Gaussian_trunc,mortality,first,binary,14782,1687,abnormal,1.412,1.281,1.557,0.0,6.881573302808103e-12
all,AST,Gaussian_trunc,mortality,first,z,14782,1687,z,1.093,1.072,1.114,0.0,2.1645873754193416e-19
all,AST,Gaussian_trunc,mortality,first,category,14782,1687,low,1.155,0.969,1.376,0.10758,0.1421540197973942
all,AST,Gaussian_trunc,mortality,first,category,14782,1687,high,1.473,1.331,1.629,0.0,1.743607580958772e-13
all,AST,Gaussian_eb,mortality,first,binary,14865,1695,abnormal,1.611,1.464,1.772,0.0,3.7514569534672483e-22
all,AST,Gaussian_eb,mortality,first,z,14865,1695,z,1.133,1.108,1.16,0.0,1.5059965138098526e-26
all,AST,Gaussian_eb,mortality,first,category,14865,1695,low,0.998,0.782,1.274,0.98697,0.9886390220271744
all,AST,Gaussian_eb,mortality,first,category,14865,1695,high,1.707,1.547,1.882,0.0,4.4766002375158396e-26
all,AST,NORMA_q_age_set,mortality,first,binary,14865,1695,abnormal,1.633,1.484,1.797,0.0,2.4837203225553657e-23
all,AST,NORMA_q_age_set,mortality,first,z,14865,1695,z,1.15,1.115,1.186,0.0,8.476466935382533e-19
all,AST,NORMA_q_age_set,mortality,first,category,14865,1695,low,1.058,0.816,1.372,0.66917,0.6999136812171335
all,AST,NORMA_q_age_set,mortality,first,category,14865,1695,high,1.708,1.549,1.884,0.0,3.051982272658938e-26
all,AST,NORMA_334f7e21,mortality,first,binary,14865,1695,abnormal,1.644,1.494,1.809,0.0,5.837187070251611e-24
all,AST,NORMA_334f7e21,mortality,first,z,14865,1695,z,1.134,1.102,1.167,0.0,1.0082877530468768e-17
all,AST,NORMA_334f7e21,mortality,first,category,14865,1695,low,1.076,0.836,1.384,0.57158,0.6107883414139706
all,AST,NORMA_334f7e21,mortality,first,category,14865,1695,high,1.723,1.562,1.9,0.0,5.459111933023581e-27
all,AST,NORMA_q_age,mortality,first,binary,14865,1695,abnormal,1.654,1.503,1.82,0.0,1.7054103355610783e-24
