analyte,method,outcome,subset,n_patients,n_events,anchor,sensitivity,specificity,ppv,n_flagged
CO2,PerRI,aki,pop_normal,51941.0,7844.0,rate_of:PerRI,0.4331973482916879,0.5415787922080867,0.1439037818151018,23613.0
CO2,NORMA_q_age_set,aki,pop_normal,51941.0,7844.0,native,0.1235339112697603,0.8740730661949793,0.1485740570377185,6522.0
CO2,NORMA_q_age_set,aki,pop_normal,51941.0,7844.0,rate_of:PerRI,0.4530851606323304,0.5451164478309182,0.1505103121162071,23613.0
CRE,PerRI,aki,pop_normal,38126.0,4383.0,native,0.3086926762491444,0.7069910796313309,0.120373665480427,11240.0
CRE,PerRI,aki,pop_normal,38126.0,4383.0,rate_of:PerRI,0.3086926762491444,0.7069910796313309,0.120373665480427,11240.0
CRE,NORMA_q_age_set,aki,pop_normal,38126.0,4383.0,native,0.1546885694729637,0.8474646593367513,0.1163948497854077,5825.0
CRE,NORMA_q_age_set,aki,pop_normal,38126.0,4383.0,rate_of:PerRI,0.2950034223134839,0.7052129330527813,0.115035587188612,11240.0
DBIL,PerRI,aki,pop_normal,492.0,144.0,native,0.3055555555555556,0.7902298850574713,0.376068376068376,117.0
DBIL,PerRI,aki,pop_normal,492.0,144.0,rate_of:PerRI,0.3055555555555556,0.7902298850574713,0.376068376068376,117.0
DBIL,NORMA_q_age_set,aki,pop_normal,492.0,144.0,native,0.1875,0.8448275862068966,0.3333333333333333,81.0
DBIL,NORMA_q_age_set,aki,pop_normal,492.0,144.0,rate_of:PerRI,0.3055555555555556,0.7902298850574713,0.376068376068376,117.0
GLU,PerRI,aki,pop_normal,52036.0,7341.0,native,0.3712028334014439,0.5924376328448372,0.1301275010744472,20941.0
GLU,PerRI,aki,pop_normal,52036.0,7341.0,rate_of:PerRI,0.3712028334014439,0.5924376328448372,0.1301275010744472,20941.0
GLU,NORMA_q_age_set,aki,pop_normal,52036.0,7341.0,native,0.2243563547200653,0.8192191520304285,0.1693225043692813,9727.0
GLU,NORMA_q_age_set,aki,pop_normal,52036.0,7341.0,rate_of:PerRI,0.4463969486445988,0.6047880076071149,0.1564872737691609,20941.0
HCT,PerRI,aki,pop_normal,6316.0,629.0,native,0.5882352941176471,0.4564796905222437,0.1069055186362323,3461.0
HCT,PerRI,aki,pop_normal,6316.0,629.0,rate_of:PerRI,0.5882352941176471,0.4564796905222437,0.1069055186362323,3461.0
HCT,NORMA_q_age_set,aki,pop_normal,6316.0,629.0,native,0.0985691573926868,0.926323193247758,0.1288981288981289,481.0
HCT,NORMA_q_age_set,aki,pop_normal,6316.0,629.0,rate_of:PerRI,0.5802861685214626,0.4556004923509759,0.1054608494654724,3461.0
