model_type,method,outcome,subset,panel,n_test,n_events_test,concordance_test,concordance_lower,concordance_upper,time_window
penalized_cox,Gaussian_eb,prolonged_los,all,all,1657.0,292.0,0.5475,0.5086,0.5835,2
penalized_cox,Gaussian_eb,prolonged_los,all,all,1657.0,292.0,0.5475,0.5086,0.5835,30
penalized_cox,Gaussian_eb,prolonged_los,all,all,1657.0,292.0,0.5475,0.5086,0.5835,7
penalized_cox,Gaussian_eb,prolonged_los,all,all,1657.0,292.0,0.5475,0.5086,0.5835,all
penalized_cox,Gaussian_eb,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5475,0.5086,0.5835,1
penalized_cox,Gaussian_eb,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5475,0.5086,0.5835,14
penalized_cox,Gaussian_eb,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5475,0.5086,0.5835,2
penalized_cox,Gaussian_eb,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5475,0.5086,0.5835,30
penalized_cox,Gaussian_eb,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5475,0.5086,0.5835,7
penalized_cox,Gaussian_eb,prolonged_los,all_eval_pop_normal,all,1657.0,292.0,0.5475,0.5086,0.5835,all
penalized_cox,Gaussian_eb,sepsis,all,all,1655.0,364.0,0.5629,0.5361,0.5959,1
penalized_cox,Gaussian_eb,sepsis,all,all,1655.0,364.0,0.5629,0.5361,0.5959,14
penalized_cox,Gaussian_eb,sepsis,all,all,1655.0,364.0,0.5629,0.5361,0.5959,2
penalized_cox,Gaussian_eb,sepsis,all,all,1655.0,364.0,0.5629,0.5361,0.5959,30
penalized_cox,Gaussian_eb,sepsis,all,all,1655.0,364.0,0.5629,0.5361,0.5959,7
penalized_cox,Gaussian_eb,sepsis,all,all,1655.0,364.0,0.5629,0.5361,0.5959,all
penalized_cox,Gaussian_eb,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5629,0.5361,0.5959,1
penalized_cox,Gaussian_eb,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5629,0.5361,0.5959,14
penalized_cox,Gaussian_eb,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5629,0.5361,0.5959,2
penalized_cox,Gaussian_eb,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5629,0.5361,0.5959,30
penalized_cox,Gaussian_eb,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5629,0.5361,0.5959,7
penalized_cox,Gaussian_eb,sepsis,all_eval_pop_normal,all,1655.0,364.0,0.5629,0.5361,0.5959,all
penalized_cox,Gaussian_mle,aki,all,all,1657.0,238.0,0.5332,0.5013,0.559,1
penalized_cox,Gaussian_mle,aki,all,all,1657.0,238.0,0.5332,0.5013,0.559,14
penalized_cox,Gaussian_mle,aki,all,all,1657.0,238.0,0.5332,0.5013,0.559,2
penalized_cox,Gaussian_mle,aki,all,all,1657.0,238.0,0.5332,0.5013,0.559,30
penalized_cox,Gaussian_mle,aki,all,all,1657.0,238.0,0.5332,0.5013,0.559,7
penalized_cox,Gaussian_mle,aki,all,all,1657.0,238.0,0.5332,0.5013,0.559,all
penalized_cox,Gaussian_mle,aki,all_eval_pop_normal,all,1657.0,238.0,0.5332,0.5013,0.559,1
penalized_cox,Gaussian_mle,aki,all_eval_pop_normal,all,1657.0,238.0,0.5332,0.5013,0.559,14
penalized_cox,Gaussian_mle,aki,all_eval_pop_normal,all,1657.0,238.0,0.5332,0.5013,0.559,2
penalized_cox,Gaussian_mle,aki,all_eval_pop_normal,all,1657.0,238.0,0.5332,0.5013,0.559,30
penalized_cox,Gaussian_mle,aki,all_eval_pop_normal,all,1657.0,238.0,0.5332,0.5013,0.559,7
penalized_cox,Gaussian_mle,aki,all_eval_pop_normal,all,1657.0,238.0,0.5332,0.5013,0.559,all
penalized_cox,Gaussian_mle,mortality,all,all,1660.0,207.0,0.6849,0.6369,0.7222,1
penalized_cox,Gaussian_mle,mortality,all,all,1660.0,207.0,0.6849,0.6369,0.7222,14
penalized_cox,Gaussian_mle,mortality,all,all,1660.0,207.0,0.6849,0.6369,0.7222,2
penalized_cox,Gaussian_mle,mortality,all,all,1660.0,207.0,0.6849,0.6369,0.7222,30
penalized_cox,Gaussian_mle,mortality,all,all,1660.0,207.0,0.6849,0.6369,0.7222,7
penalized_cox,Gaussian_mle,mortality,all,all,1660.0,207.0,0.6849,0.6369,0.7222,all
penalized_cox,Gaussian_mle,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6849,0.6369,0.7222,1
penalized_cox,Gaussian_mle,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6849,0.6369,0.7222,14
penalized_cox,Gaussian_mle,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6849,0.6369,0.7222,2
penalized_cox,Gaussian_mle,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6849,0.6369,0.7222,30
penalized_cox,Gaussian_mle,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6849,0.6369,0.7222,7
penalized_cox,Gaussian_mle,mortality,all_eval_pop_normal,all,1660.0,207.0,0.6849,0.6369,0.7222,all
