method,state,analyte,n,coverage95,width_rel,inside_pop,n_analytes
NORMA_q_age_set,normal,HDL,30,1.0,1.046,0.8987,
NORMA_q_age_set,normal,K,22,0.9545,1.1198,0.893,
NORMA_q_age_set,normal,LDL,24,0.9583,0.8302,1.0,
NORMA_q_age_set,normal,MCHC,22,1.0,1.1541,0.8616,
NORMA_q_age_set,normal,PLT,33,0.8788,0.9819,0.9404,
NORMA_q_age_set,normal,RBC,25,0.88,1.2478,0.799,
NORMA_q_age_set,normal,RDW,28,1.0,0.9946,0.9159,
NORMA_q_age_set,normal,TBIL,32,0.9375,1.0542,0.8356,
NORMA_q_age_set,normal,WBC,47,0.8936,1.181,0.8467,
NORMA_q_age_set,all,A1C,46,0.587,3.5918,0.2786,
NORMA_q_age_set,all,ALB,39,0.7436,1.4454,0.6507,
NORMA_q_age_set,all,ALP,34,0.8235,1.0853,0.8282,
NORMA_q_age_set,all,ALT,45,0.5111,1.2184,0.772,
NORMA_q_age_set,all,AST,26,0.5769,1.0051,0.7995,
NORMA_q_age_set,all,BUN,28,0.8214,1.1702,0.8476,
NORMA_q_age_set,all,CA,27,0.7037,1.3587,0.736,
NORMA_q_age_set,all,CL,33,0.5152,1.1743,0.7817,
NORMA_q_age_set,all,CO2,38,0.7105,1.5023,0.6656,
NORMA_q_age_set,all,CRE,27,0.7037,1.1996,0.7958,
NORMA_q_age_set,all,DBIL,27,0.7037,1.1386,0.8129,
NORMA_q_age_set,all,GLU,39,0.2308,3.409,0.2933,
NORMA_q_age_set,all,HCT,22,0.6818,1.3508,0.6307,
NORMA_q_age_set,all,HDL,37,0.8649,1.1018,0.86,
NORMA_q_age_set,all,HGB,29,0.6207,1.3499,0.6664,
NORMA_q_age_set,all,K,31,0.8065,1.1198,0.893,
NORMA_q_age_set,all,LDL,37,0.6486,0.8302,1.0,
NORMA_q_age_set,all,MCH,35,0.6571,1.3123,0.762,
NORMA_q_age_set,all,MCHC,44,0.6591,1.1541,0.859,
NORMA_q_age_set,all,MCV,28,0.8571,1.3524,0.7336,
NORMA_q_age_set,all,NA,25,0.68,1.0088,0.8885,
