dataset,target_state,analyte,method,n,mae,mape,rmse,r2,bias,n_analytes,n_targets
chs,all_states,ALT,PopRI,20.0,16.531,45.0183037769013,19.80161306560655,-0.664781666469529,-12.513000000000002,,
chs,all_states,ALT,PerRI,20.0,12.21183,47.56653156322237,14.54148565023533,0.1022121930773863,-1.6292800000000005,,
chs,all_states,ALT,Gaussian_mle,20.0,15.18334404761905,43.84058873798104,18.75643968856531,-0.493677897259787,-10.848394047619047,,
chs,all_states,ALT,Gaussian_trunc,20.0,57.84537094889332,173.35474484162296,75.55630282850797,-23.23804245722384,-11.24818728435206,,
chs,all_states,ALT,Cohen_m2,20.0,12.12031254196167,37.11478434025569,14.571272693602372,0.0985303362386159,-3.869017208099365,,
chs,all_states,ALT,Cohen_m3,20.0,12.14157473754883,45.444261010270566,14.925570818522717,0.0541592007492583,-1.8210633163452148,,
chs,all_states,ALT,Cohen_m4,20.0,13.374891475677492,56.514722838854425,16.323882873625124,-0.1313658998958802,1.6095440025329588,,
chs,normal,AST,NORMA_normal,8.0,8.029580893516542,30.41872937917043,10.16073993127764,-1.9857222720369987,-5.070863108634949,,
chs,normal,AST,NORMA_marginal,8.0,12.70124931383858,50.347292372350125,14.210581240608006,-4.840128732333821,0.0220830440723283,,
chs,normal,AST,NORMA_marginal_freq,8.0,7.450426901952657,28.814260473655818,9.280726846086797,-1.4909368515636867,-3.4425761920911904,,
chs,normal,AST,NORMA_oracle,8.0,8.029580893516542,30.41872937917043,10.16073993127764,-1.9857222720369987,-5.070863108634949,,
chs,normal,AST,Mean,8.0,9.360506164072053,42.73618634528052,10.713538207975136,-2.319438159626708,8.427172805307404,,
chs,normal,AST,Last,8.0,15.754999785423278,62.2991896565658,18.780334437841013,-9.200122332728492,3.1499997568130484,,
chs,normal,AST,ARIMA,8.0,13.9070929596649,63.70363897327513,17.283428562379722,-7.638901743672884,2.464655286899919,,
chs,normal,AST,PopRI,8.0,5.02125,21.25941385885511,5.926538829704907,-0.01578315147078,0.7387499999999991,,
chs,normal,AST,PerRI,8.0,9.3605,42.73617254464891,10.713543369492651,-2.3194413580737554,8.427174999999998,,
chs,normal,AST,Gaussian_mle,8.0,6.6647083333333335,28.84267148039597,8.19457256952565,-0.9420094902985824,1.214041666666667,,
chs,normal,AST,Gaussian_trunc,8.0,33.24808896895084,143.26229372909452,51.9026340858768,-76.90718902838906,1.831707964275017,,
chs,normal,AST,Cohen_m2,8.0,5.507557888031005,24.663461303419965,6.200990211217673,-0.1120410732998098,3.5565886688232413,,
chs,normal,AST,Cohen_m3,8.0,4.731389093399049,20.22689276796252,5.375772132774368,0.1642421971591122,1.3829515171051017,,
chs,normal,AST,Cohen_m4,8.0,6.258752603530883,27.96728643800953,7.581410352249937,-0.6622591972445717,2.525892038345336,,
chs,all_states,AST,NORMA_normal,10.0,12.23844687271118,36.74028225305508,15.96710924684544,-1.3441297010263762,-9.871472644805907,,
chs,all_states,AST,NORMA_marginal,10.0,14.16755710687209,48.93010489147166,15.674137595372304,-1.2588966112923363,-3.9888912205433655,,
chs,all_states,AST,NORMA_marginal_freq,10.0,11.452773652877228,34.7629453984819,14.945071530109832,-1.053643429909804,-8.246493084988057,,
chs,all_states,AST,NORMA_oracle,10.0,7.389149517059326,26.42635671969306,9.364934923578131,0.1936221835544858,-3.757126522064209,,
chs,all_states,AST,Mean,10.0,11.777515990658411,43.31550369850321,13.715099885177942,-0.7295255964430452,2.452627184845152,,
chs,all_states,AST,Last,10.0,15.200999576568602,55.58100107880456,18.56757536017928,-2.169855277855961,0.1169997215270992,,
chs,all_states,AST,ARIMA,10.0,15.505909150138924,60.26602509059239,18.49131219795872,-2.1438694694723264,-2.40851055288707,,
chs,all_states,AST,PopRI,10.0,8.357999999999999,26.28969565428961,11.0825511503444,-0.1292979322260925,-3.75,,
