subset,analyte,method,outcome,exposure,encoding,level,n,n_events,HR,HR_lower,HR_upper,p_value,p_fdr
all,PLT,PerRI,ckd,first,binary,abnormal,38938.0,6057.0,1.83,1.54,2.18,9.348074973057738e-12,1.3257269961790972e-11
all,PLT,NORMA,ckd,first,binary,abnormal,38938.0,6057.0,1.7,1.58,1.83,1.6067367226079516e-45,7.37208613902472e-45
all,RBC,PerRI,ckd,first,binary,abnormal,38887.0,6046.0,1.61,1.35,1.91,7.45034322220676e-08,9.22423446558932e-08
all,RDW,PopRI,ckd,first,binary,abnormal,38796.0,6050.0,2.4,2.17,2.65,4.188299355929159e-66,3.2668734976247445e-65
all,RDW,PerRI,ckd,first,binary,abnormal,38796.0,6050.0,1.52,1.34,1.72,4.883028324085228e-11,6.682038759274524e-11
all,RDW,NORMA,ckd,first,binary,abnormal,38796.0,6050.0,2.41,2.06,2.83,1.829976081806784e-27,3.9649481772480315e-27
all,TBIL,PopRI,ckd,first,binary,abnormal,15823.0,2880.0,1.5,1.36,1.65,1.9852008577121064e-16,3.6010620209661474e-16
all,TBIL,PerRI,ckd,first,binary,abnormal,15823.0,2880.0,1.47,1.3,1.65,2.3802161588950053e-10,3.200980351617421e-10
all,TBIL,NORMA,ckd,first,binary,abnormal,15823.0,2880.0,1.24,1.06,1.45,0.0071128733382117,0.0076000564435687
all,TC,PopRI,ckd,first,binary,abnormal,31855.0,5502.0,1.26,1.14,1.39,4.896176743164274e-06,5.875412091797129e-06
all,TC,PerRI,ckd,first,binary,abnormal,31855.0,5502.0,1.24,1.1,1.38,0.0002004791906362,0.0002333936846212
all,TC,NORMA,ckd,first,binary,abnormal,31855.0,5502.0,1.58,1.41,1.77,3.1302712870874408e-15,5.086690841517092e-15
all,TP,PopRI,ckd,first,binary,abnormal,15417.0,2906.0,1.79,1.63,1.97,2.019304590295472e-33,6.0579137708864165e-33
all,TP,PerRI,ckd,first,binary,abnormal,15417.0,2906.0,1.62,1.41,1.86,8.644356333468656e-12,1.2486292481676949e-11
all,TP,NORMA,ckd,first,binary,abnormal,15417.0,2906.0,2.02,1.78,2.29,7.4409515068033405e-28,1.707041816266649e-27
all,WBC,PopRI,ckd,first,binary,abnormal,39047.0,6070.0,1.59,1.47,1.72,5.580575516791164e-31,1.500982380378313e-30
all,WBC,PerRI,ckd,first,binary,abnormal,39047.0,6070.0,1.83,1.57,2.14,2.036075074592001e-14,3.2410990983301243e-14
all,WBC,NORMA,ckd,first,binary,abnormal,39047.0,6070.0,2.11,1.89,2.35,3.688229054820673e-41,1.514115085663224e-40
all,A1C,PopRI,t2d,first,binary,abnormal,1123.0,548.0,2.8,1.79,4.37,6.125519887771562e-06,7.465477363221591e-06
all,A1C,PerRI,t2d,first,binary,abnormal,1123.0,548.0,1.69,1.29,2.2,0.0001165489952602,0.0001356839049298
all,A1C,NORMA,t2d,first,binary,abnormal,1123.0,548.0,3.18,2.12,4.78,2.4343063160353523e-08,3.2737222870820255e-08
all,ALB,PopRI,t2d,first,binary,abnormal,8657.0,3241.0,2.12,1.93,2.33,3.957848986271305e-55,3.430135788101797e-54
all,ALB,PerRI,t2d,first,binary,abnormal,8657.0,3241.0,1.43,1.27,1.61,3.409740004064083e-09,4.665960005561377e-09
all,ALB,NORMA,t2d,first,binary,abnormal,8657.0,3241.0,1.73,1.57,1.91,5.892135646012544e-28,1.3926866072393287e-27
